node,calculated_community
0,1
1,2
2,562
3,533
4,562
5,562
6,562
7,338
8,3
9,583
10,4
11,338
12,5
13,562
14,354
15,6
16,189
17,562
18,7
19,338
20,136
21,562
22,8
23,281
24,9
25,10
26,11
27,12
28,562
29,13
30,28
31,14
32,15
33,16
34,17
35,18
36,19
37,20
38,21
39,22
40,23
41,562
42,281
43,583
44,562
45,283
46,331
47,24
48,25
49,26
50,27
51,28
52,29
53,30
54,31
55,32
56,33
57,533
58,562
59,34
60,35
61,36
62,562
63,562
64,562
65,354
66,37
67,38
68,39
69,40
70,41
71,42
72,43
73,44
74,290
75,45
76,46
77,47
78,48
79,49
80,373
81,562
82,562
83,562
84,562
85,50
86,562
87,562
88,51
89,533
90,52
91,53
92,54
93,300
94,55
95,56
96,562
97,57
98,58
99,59
100,60
101,61
102,62
103,63
104,64
105,562
106,562
107,562
108,65
109,66
110,67
111,67
112,68
113,562
114,562
115,562
116,290
117,69
118,70
119,71
120,72
121,562
122,73
123,74
124,497
125,75
126,76
127,77
128,562
129,562
130,78
131,79
132,349
133,562
134,80
135,81
136,82
137,562
138,83
139,84
140,85
141,338
142,562
143,86
144,87
145,418
146,88
147,89
148,90
149,91
150,92
151,93
152,349
153,94
154,95
155,331
156,96
157,189
158,97
159,98
160,562
161,99
162,100
163,101
164,102
165,562
166,562
167,223
168,325
169,562
170,562
171,103
172,562
173,562
174,146
175,583
176,104
177,105
178,106
179,107
180,418
181,108
182,109
183,562
184,562
185,497
186,110
187,111
188,112
189,373
190,113
191,114
192,115
193,527
194,116
195,117
196,118
197,119
198,120
199,121
200,122
201,123
202,423
203,124
204,125
205,126
206,127
207,128
208,129
209,562
210,562
211,562
212,562
213,301
214,130
215,562
216,283
217,131
218,132
219,133
220,134
221,135
222,136
223,137
224,138
225,139
226,140
227,141
228,142
229,143
230,144
231,145
232,574
233,146
234,147
235,148
236,149
237,150
238,151
239,152
240,153
241,153
242,154
243,155
244,156
245,157
246,583
247,583
248,158
249,562
250,159
251,160
252,562
253,161
254,562
255,193
256,562
257,162
258,163
259,164
260,165
261,166
262,167
263,325
264,168
265,357
266,169
267,583
268,170
269,562
270,171
271,349
272,172
273,173
274,174
275,175
276,176
277,177
278,178
279,179
280,562
281,180
282,562
283,562
284,181
285,562
286,182
287,183
288,184
289,185
290,562
291,186
292,187
293,237
294,188
295,189
296,223
297,190
298,191
299,192
300,193
301,562
302,194
303,562
304,195
305,196
306,197
307,198
308,199
309,200
310,201
311,202
312,203
313,204
314,205
315,583
316,206
317,207
318,208
319,209
320,210
321,574
322,211
323,212
324,213
325,214
326,215
327,216
328,217
329,562
330,380
331,218
332,583
333,562
334,583
335,583
336,219
337,220
338,221
339,222
340,562
341,583
342,223
343,224
344,225
345,226
346,227
347,228
348,583
349,229
350,230
351,231
352,232
353,233
354,583
355,234
356,235
357,236
358,301
359,583
360,237
361,238
362,338
363,239
364,240
365,562
366,562
367,562
368,241
369,242
370,243
371,562
372,244
373,245
374,246
375,247
376,248
377,562
378,249
379,250
380,251
381,252
382,583
383,583
384,253
385,254
386,255
387,256
388,257
389,258
390,259
391,260
392,261
393,418
394,262
395,263
396,264
397,265
398,583
399,266
400,267
401,268
402,269
403,270
404,562
405,562
406,337
407,271
408,272
409,300
410,273
411,562
412,533
413,274
414,583
415,459
416,583
417,275
418,276
419,562
420,562
421,277
422,278
423,279
424,562
425,280
426,325
427,281
428,282
429,283
430,284
431,285
432,286
433,287
434,562
435,288
436,583
437,289
438,290
439,291
440,354
441,292
442,293
443,294
444,295
445,296
446,297
447,298
448,299
449,583
450,300
451,583
452,301
453,302
454,303
455,304
456,583
457,305
458,306
459,373
460,307
461,308
462,309
463,583
464,310
465,506
466,311
467,312
468,313
469,314
470,315
471,316
472,583
473,562
474,562
475,583
476,317
477,583
478,318
479,583
480,319
481,320
482,321
483,322
484,323
485,324
486,325
487,326
488,583
489,327
490,328
491,329
492,330
493,562
494,562
495,331
496,332
497,333
498,354
499,334
500,583
501,335
502,583
503,583
504,336
505,337
506,338
507,583
508,339
509,340
510,341
511,342
512,343
513,344
514,345
515,346
516,347
517,348
518,349
519,350
520,351
521,352
522,583
523,419
524,583
525,353
526,354
527,355
528,356
529,357
530,358
531,359
532,360
533,562
534,583
535,361
536,362
537,363
538,471
539,364
540,365
541,366
542,367
543,368
544,369
545,370
546,562
547,371
548,372
549,373
550,374
551,375
552,376
553,377
554,378
555,379
556,380
557,381
558,583
559,382
560,383
561,583
562,384
563,385
564,386
565,583
566,583
567,387
568,388
569,482
570,583
571,389
572,390
573,391
574,583
575,551
576,392
577,393
578,583
579,394
580,584
581,395
582,396
583,583
584,397
585,409
586,398
587,583
588,399
589,413
590,400
591,401
592,402
593,403
594,404
595,583
596,405
597,406
598,407
599,408
600,409
601,410
602,411
603,583
604,412
605,583
606,583
607,413
608,583
609,414
610,415
611,416
612,417
613,583
614,583
615,418
616,583
617,583
618,419
619,420
620,421
621,422
622,583
623,423
624,424
625,583
626,583
627,425
628,583
629,583
630,583
631,583
632,583
633,585
634,583
635,583
636,583
637,583
638,426
639,583
640,427
641,428
642,429
643,430
644,431
645,583
646,583
647,432
648,586
649,433
650,583
651,434
652,435
653,587
654,436
655,437
656,583
657,583
658,588
659,583
660,589
661,438
662,439
663,440
664,441
665,442
666,443
667,444
668,583
669,445
670,590
671,446
672,447
673,583
674,583
675,591
676,448
677,583
678,449
679,450
680,583
681,451
682,583
683,583
684,592
685,452
686,453
687,454
688,583
689,583
690,455
691,593
692,583
693,456
694,583
695,457
696,458
697,459
698,460
699,583
700,583
701,583
702,583
703,594
704,583
705,461
706,462
707,463
708,464
709,583
710,465
711,595
712,583
713,583
714,466
715,508
716,548
717,467
718,468
719,469
720,470
721,583
722,583
723,471
724,472
725,473
726,474
727,475
728,476
729,477
730,478
731,596
732,597
733,583
734,479
735,583
736,480
737,583
738,481
739,482
740,483
741,583
742,583
743,583
744,598
745,484
746,599
747,485
748,486
749,487
750,583
751,488
752,489
753,490
754,491
755,583
756,492
757,583
758,493
759,583
760,583
761,583
762,583
763,548
764,494
765,495
766,583
767,496
768,497
769,583
770,583
771,498
772,600
773,583
774,583
775,583
776,499
777,500
778,501
779,502
780,583
781,583
782,503
783,504
784,583
785,505
786,506
787,583
788,583
789,507
790,583
791,583
792,583
793,583
794,583
795,583
796,583
797,583
798,601
799,508
800,509
801,583
802,583
803,583
804,583
805,583
806,583
807,510
808,602
809,511
810,512
811,513
812,514
813,515
814,583
815,516
816,534
817,583
818,517
819,583
820,562
821,518
822,519
823,583
824,583
825,583
826,521
827,583
828,520
829,583
830,583
831,583
832,521
833,522
834,583
835,523
836,583
837,583
838,583
839,583
840,524
841,583
842,525
843,583
844,526
845,527
846,583
847,528
848,583
849,583
850,583
851,551
852,583
853,583
854,529
855,530
856,531
857,532
858,583
859,533
860,534
861,583
862,583
863,583
864,583
865,583
866,535
867,536
868,537
869,583
870,583
871,583
872,538
873,583
874,583
875,583
876,583
877,539
878,583
879,583
880,540
881,583
882,541
883,542
884,583
885,583
886,543
887,583
888,583
889,583
890,583
891,583
892,544
893,583
894,583
895,545
896,546
897,583
898,583
899,583
900,547
901,583
902,548
903,583
904,583
905,549
906,550
907,551
908,552
909,553
910,583
911,583
912,583
913,583
914,554
915,583
916,583
917,555
918,556
919,577
920,583
921,583
922,557
923,583
924,558
925,559
926,560
927,583
928,583
929,583
930,583
931,561
932,562
933,583
934,583
935,583
936,563
937,583
938,583
939,583
940,564
941,583
942,583
943,583
944,583
945,583
946,583
947,565
948,583
949,566
950,567
951,583
952,583
953,568
954,569
955,570
956,571
957,583
958,583
959,583
960,583
961,583
962,583
